city,population,international
shanghai,24.8,3.12
melbourne,4.82,2.782
beijing,21.71,7.2
gansu,2.4,
hangzhou,7.27,0.9
chongqing,14.3,
nanjing,8.33,
xi'an,4.8,1.21
paris,10.84,17.44
florence,0.7,4.878
tokyo,37.34,11.93
mexico city,21.5,2.98
amsterdam,1.12,6.57
oświęcim,0.04,
moscow,12.4,4.632
saint petersburg,5.32,2.856
seoul,9.77,9.54
madrid,6.5,5.26
kaohsiung,2.77,
taipei,2.67,9.318
konya,2.16,6.447
edinburgh,0.52,1.66
london,8.82,19.83
houston,2.31,1.5
los angeles,3.99,5.6
new york city,23.87,13.13
washington d.c.,0.7,2.154
vatican city,0.001,7.12